Character,Gender,NumberOfAppearances,FirstAppearance,LastAppearance,ExitStatus,Born,Died,AgeEnterStreet,AgeLastOnStreet,YearsOnStreet,Returner,NumberTimesMarried,NumberChildren,Occupation,Industry,BigamyCommitted
Candice Stowe,Female,400,1999-11-05,2005-11-07,Exit,1986-09-20,,13.13,19.13,6.01,False,1,0,Hairdresser,Other services,False
Carla Connor,Female,2128,2006-12-01,,Alive,1975-01-03,,31.91,50.49,18.58,False,4,0,Factory manager,Manufacturing,False
Carys Winter-Brown,Female,91,2019-10-30,,Alive,2019-10-30,,0.0,5.67,3.67,True,0,0,,,False
Cassie Plummer,Female,189,2023-06-28,,Alive,1966-02-01,,57.4,59.41,2.01,False,0,1,Carer,Human health & social work activities,False
Cathy Matthews,Female,472,2015-04-20,2022-06-17,Exit,1961-04-12,,54.02,61.18,7.16,False,1,0,Retail assistant,"Wholesale, retail & repair of motor vehicles",False
Caz Hammond,Female,72,2015-11-16,2016-12-02,Exit,,,,,1.05,False,0,0,Soldier (former),Public admin & defence; social security,False
Chalkie Whitely,Male,60,1982-02-15,1983-08-03,Exit,1924-12-21,,57.15,58.61,1.46,False,1,1,Binman,Administrative & support services,False
Charlie Moffitt,Male,101,1964-05-20,1965-12-15,Exit,,,,,1.57,False,0,0,Comedian,Other services,False
Charlie Ramsden,Male,103,2000-11-22,2002-04-16,Exit,1970-09-01,,30.23,31.62,1.4,False,1,0,Teacher,Education,False
Charlie Stubbs,Male,421,2003-11-10,2007-01-15,Death,1971-11-17,2007-01-15,31.98,35.16,3.18,False,1,2,Builder,Construction,False
Charlie Whelan,Male,59,1993-12-27,1994-10-14,Exit,,,,,0.8,False,0,0,Lorry driver,Transport & storage,False
Cheryl Gray,Female,147,2010-04-09,2011-11-18,Exit,1981-01-17,,29.22,30.83,1.61,False,1,1,Waitress,Accommodation & food services,False
Chesney Winter-Brown,Male,1594,2003-11-10,,Alive,1994-07-26,,9.29,30.93,21.64,False,1,5,Assistant at Prima Doner,Accommodation & food services,False
Chris Collins,Male,137,1997-03-03,1998-03-29,Exit,1976-03-01,,21.0,22.08,1.07,False,0,0,Mechanic,"Wholesale, retail & repair of motor vehicles",False
Chris Gray,Male,109,2010-07-01,2011-11-21,Exit,,,,,1.39,False,1,1,Builder,Construction,False
Christine Appleby,Female,123,1960-12-14,1963-07-03,Exit,1939-04-19,,21.66,24.21,2.55,False,1,0,Machinist,Manufacturing,False
Ciaran McCarthy,Male,407,2002-08-07,2011-11-25,Exit,1973-02-01,,29.51,38.81,4.3,True,0,0,Chef,Accommodation & food services,False
Cilla Battersby-Brown,Female,329,2003-10-20,2014-11-14,Exit,1965-12-17,,37.84,48.91,4.07,True,1,3,Barmaid,Accommodation & food services,False
Claire Palmer,Female,59,1996-05-08,1997-04-14,Exit,,,,,0.93,False,1,1,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Claire Peacock,Female,673,2003-04-09,2011-01-14,Exit,1981-01-14,,22.23,30.0,7.77,False,1,2,Taxi controller,Transport & storage,False
Claudia Colby,Female,149,2009-12-18,2022-08-15,Exit,,,,,5.66,True,0,0,Owner of Perm Suspect,Other services,False
Concepta Regan,Female,317,1960-12-23,1975-12-31,Exit,1926-01-15,,34.94,49.96,4.02,True,2,1,Barmaid,Accommodation & food services,False
Connie Clayton,Female,41,1985-01-28,2000-12-10,Exit,,,,,0.87,True,1,2,Dressmaker,Manufacturing,False
Craig Harris,Male,294,2002-11-13,2006-10-16,Exit,1990-09-18,,12.15,16.08,3.92,False,0,0,,,False
Craig Tinker,Male,771,2011-08-05,,Alive,1998-09-02,,12.92,26.83,13.9,False,0,0,Police Constable,Public admin & defence; social security,False
Curly Watts,Male,1563,1983-07-11,2003-09-01,Exit,1963-06-28,,20.04,40.18,20.14,False,2,2,Retail manager,"Wholesale, retail & repair of motor vehicles",False
Cyril Turpin,Male,74,1969-06-04,1972-07-19,Exit,1920-07-01,1974-02-20,48.93,52.05,1.12,True,1,0,Police sergeant,Public admin & defence; social security,False
Daisy Midgeley,Female,635,2020-11-27,2025-05-02,Exit,1996-12-01,,23.99,28.42,4.43,False,0,0,Barmaid at the Rovers Return Inn,Accommodation & food services,False
Dan Mason,Male,108,2007-12-03,2008-11-14,Exit,1976-09-01,,31.25,32.2,0.95,False,0,0,Bookmaker,Other services,False
Daniel Osbourne,Male,1173,1995-01-04,,Alive,1995-01-04,,0.0,30.49,11.49,True,1,1,Teacher and journalist,Education,False
Danny Baldwin,Male,392,2004-05-31,2006-12-31,Exit,1960-05-20,,44.03,46.61,2.58,False,2,2,Businessman,Financial & insurance activities,False
Danny Hargreaves,Male,148,1999-04-28,2001-04-22,Exit,,,,,1.98,False,0,0,Market trader,"Wholesale, retail & repair of motor vehicles",False
Darryl Morton,Male,219,2007-03-18,2009-10-16,Exit,1989-04-10,,17.94,20.52,2.58,False,0,0,Shop manager,"Wholesale, retail & repair of motor vehicles",False
David Barlow,Male,251,1960-12-09,1968-04-10,Exit,1942-07-04,1970-04-08,18.43,25.77,5.34,True,1,1,Footballer,Other services,False
David Platt,Male,3135,1990-12-26,,Alive,1990-12-25,,0.0,34.51,34.51,False,2,2,Hairdresser,Other services,False
Debbie Webster,Female,451,1984-06-11,,Alive,1968-09-07,,15.76,56.81,7.05,True,0,0,Hotelier and restaurateur,Accommodation & food services,False
Debs Brownlow,Female,75,2000-02-06,2000-11-10,Exit,,,,,0.76,False,0,0,Hairdresser,Other services,False
Dee-Dee Bailey,Female,429,2022-09-28,,Alive,1995-07-14,,27.21,29.96,2.75,False,0,1,Solicitor at Barlow Legal Services,"Professional, scientific & technical activities",False
Deirdre Barlow,Female,3346,1972-11-20,2014-10-08,Death,1955-07-08,2015-07-08,17.37,60.0,42.63,False,4,1,Receptionist,Administrative & support services,False
Denise Osbourne,Female,289,1992-12-04,2017-06-09,Exit,1955-12-01,,37.01,61.52,4.57,True,2,1,Hairdresser,Other services,False
Dennis Stringer,Male,167,2000-02-07,2002-01-02,Death,,2002-01-02,,,1.9,False,1,0,Mechanic,"Wholesale, retail & repair of motor vehicles",False
Dennis Tanner,Male,677,1960-12-09,2014-07-30,Exit,1942-04-01,2020-12-01,18.69,72.33,10.64,True,2,0,,,False
Derek Wilton,Male,726,1976-02-23,1997-04-07,Death,1936-08-07,1997-04-07,39.55,60.67,16.12,True,2,0,Salesman,"Wholesale, retail & repair of motor vehicles",False
Des Barnes,Male,772,1990-02-12,1998-11-18,Death,1965-04-24,1998-11-18,24.8,33.57,8.76,False,2,0,Bookmaker,Other services,False
Dev Alahan,Male,2063,1999-11-10,,Alive,1964-03-02,,35.69,61.33,25.64,False,1,5,"Owner of the Corner Shop, Prima Doner and For Your Fries Only",Accommodation & food services,False
Dickie Fleming,Male,117,1968-06-05,1970-05-06,Exit,1949-07-17,,18.89,20.8,1.92,False,1,0,Electrician,Construction,False
Diggory Compton,Male,50,2005-02-02,2006-07-17,Exit,,,,,1.45,False,0,1,Baker,Manufacturing,False
Don Brennan,Male,735,1987-09-07,1997-10-08,Death,1937-11-30,1997-10-08,49.77,59.85,10.09,False,2,3,Taxi driver,Transport & storage,False
Doreen Fenwick,Female,51,2007-02-05,2007-12-02,Exit,1939-10-01,,67.35,68.17,0.82,False,2,0,Exotic dancer (retired),Other services,False
Doreen Heavey,Female,75,1999-07-02,2004-11-08,Exit,1953-01-13,,46.46,51.82,2.36,True,1,1,Beautician,Other services,False
Doreen Lostock,Female,145,1961-01-18,1963-10-02,Exit,1941-02-01,,19.96,22.66,2.7,False,0,0,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Doug Murray,Male,62,1992-10-23,1993-06-18,Exit,,,,,0.65,False,0,0,Businessman,Financial & insurance activities,False
Duggie Ferguson,Male,252,1999-10-15,2002-02-06,Death,,2002-02-04,,,2.31,False,1,1,Businessman,Financial & insurance activities,False
Dylan Wilson,Male,202,2008-02-22,,Alive,2008-02-22,,0.0,17.35,6.35,True,0,0,,,False
Ed Bailey,Male,460,2019-06-10,,Alive,1964-09-20,,54.72,60.77,6.06,False,1,3,Builder,Construction,False
Eddie Windass,Male,187,2008-11-14,2011-04-25,Exit,,,,,2.44,False,1,1,Taxi driver,Transport & storage,False
Eddie Yeats,Male,511,1974-12-23,1987-12-02,Exit,1941-08-22,,33.34,46.28,8.94,True,1,1,Binman,Administrative & support services,False
Edna Miller,Female,50,1998-06-24,2001-09-19,Death,1952-09-01,2001-09-19,45.81,49.05,1.24,True,3,0,Factory workerBarmaid,Manufacturing,False
Effie Spicer,Female,43,1968-06-26,1969-03-26,Exit,1900-01-30,,68.4,69.15,0.75,False,1,0,Retired,Other services,False
Eileen Grimshaw,Female,2422,2000-05-03,,Alive,1961-10-07,,38.57,63.73,25.16,False,1,2,Switch operator at Street Cars  Office administrator,Administrative & support services,False
Elaine Jones,Female,185,2020-07-20,2023-10-23,Exit,1951-10-11,,68.77,72.03,3.26,False,1,1,Former waitress and shop assistant,Accommodation & food services,False
Eliza Woodrow,Female,90,2022-08-24,2024-04-17,Exit,2011-05-19,,11.27,12.91,1.65,False,0,0,,,False
Elsie Tanner,Female,1606,1960-12-09,1984-01-04,Exit,1923-03-05,2004-06-01,37.77,60.84,20.07,True,4,2,Retail clerk,"Wholesale, retail & repair of motor vehicles",False
Emily Bishop,Female,3303,1960-12-21,2019-10-09,Exit,1929-10-18,,31.18,89.97,55.800000000000004,True,2,0,Shop assistant (retired),"Wholesale, retail & repair of motor vehicles",True
Emma Brooker,Female,391,2018-04-20,2022-04-08,Exit,1999-05-03,,18.97,22.93,3.97,False,0,0,Barmaid  Hairdresser,Accommodation & food services,False
Emma Watts,Female,265,2000-04-10,2003-09-01,Exit,,,,,3.39,False,1,1,Police sergeant,Public admin & defence; social security,False
Ena Sharples,Female,1136,1960-12-09,1980-04-02,Exit,1899-11-24,,61.04,80.35,19.31,False,1,3,Caretaker (retired),Administrative & support services,False
Erica Holroyd,Female,157,2014-12-15,2017-08-04,Exit,1965-06-24,,49.48,52.11,2.64,False,0,0,Waitress,Accommodation & food services,False
Ernest Bishop,Male,410,1967-09-06,1978-01-11,Death,1930-08-11,1978-01-11,37.07,47.42,8.53,True,1,0,Photographer,"Professional, scientific & technical activities",False
Esther Hayes,Female,64,1960-12-14,1972-04-05,Exit,1924-05-10,,36.6,47.9,3.31,True,0,0,Civil servant,Public admin & defence; social security,False
Eunice Gee,Female,72,1981-03-23,1999-05-24,Exit,1937-10-01,,43.47,61.64,1.27,True,2,1,Barmaid,Accommodation & food services,False
Eva Price,Female,785,2011-06-17,2018-08-03,Exit,1988-02-10,,23.35,30.48,7.13,False,0,1,,,False
Evelyn Elliott,Female,117,2000-10-20,2002-05-10,Exit,,,,,1.55,False,2,5,Barmaid,Accommodation & food services,True
Evelyn Plummer,Female,526,2018-09-12,,Alive,1946-03-17,,72.49,79.29,6.8,False,1,1,,,False
Faye Windass,Female,759,2011-01-24,2023-05-24,Exit,2002-03-13,,8.87,21.2,12.33,False,0,1,Telesales agent,"Wholesale, retail & repair of motor vehicles",False
Felicity Khan,Female,35,1990-02-14,1990-08-01,Exit,,,,,0.46,False,0,0,Student,Education,False
Finlay Bryant,Male,52,2007-04-06,2008-09-29,Exit,2000-10-07,,6.49,7.98,1.48,False,0,0,,,False
Fiona Middleton,Female,493,1992-12-14,2019-08-21,Exit,1975-12-02,,17.03,43.72,5.68,True,1,2,Hairdresser,Other services,False
Fiz Dobbs,Female,2512,2001-04-20,,Alive,1984-09-25,,16.57,40.76,24.19,False,3,1,Antiques dealer  Machinist,"Wholesale, retail & repair of motor vehicles",False
Florrie Lindley,Female,310,1960-12-09,1965-06-02,Exit,1922-06-12,,38.49,42.97,4.48,False,1,0,Shopkeeper,"Wholesale, retail & repair of motor vehicles",False
Frank Barlow,Male,273,1960-12-09,1971-02-03,Exit,1913-10-19,,47.14,57.29,3.56,True,1,2,Retired Postman and DIY shop owner,"Wholesale, retail & repair of motor vehicles",False
Frank Foster,Male,138,2011-01-20,2012-03-08,Death,1971-07-01,2012-03-05,39.56,40.68,1.12,False,0,0,Businessman,Financial & insurance activities,False
Frankie Baldwin,Female,340,2004-06-06,2006-12-31,Exit,,,,,2.57,False,2,1,,,False
Frankie Bolton,Female,45,2024-08-05,,Alive,2024-08-02,,0.01,0.91,0.9,False,0,0,,,False
Fred Elliott,Male,1065,1994-08-26,2006-10-11,Death,1938-10-27,2006-10-09,55.83,67.95,12.12,False,3,1,Butcher,"Wholesale, retail & repair of motor vehicles",True
Fred Gee,Male,561,1975-09-29,1984-11-28,Exit,1929-10-06,1998-11-01,45.98,55.15,9.17,False,2,0,Barman,Accommodation & food services,False
Freddie Peacock,Male,144,2006-07-17,2011-01-14,Exit,2006-07-17,,0.0,4.5,4.5,False,0,0,,,False
Freddie Smith,Male,66,2016-03-11,2017-04-21,Exit,,,,,1.11,False,1,0,Mechanic (retired),"Wholesale, retail & repair of motor vehicles",False
Gail Chadwick,Female,4606,1974-07-29,2024-12-25,Exit,1958-04-16,,16.28,66.69,50.41,False,7,3,,,False
Gary Mallett,Male,424,1995-10-02,2000-10-01,Exit,,,,,5.0,False,1,2,Builder,Construction,False
Gary Windass,Male,1451,2008-11-14,,Alive,1986-03-19,,22.66,39.28,16.62,False,1,2,Debt collector,Financial & insurance activities,False
Geena Gregory,Female,331,2000-02-09,2002-10-11,Exit,1977-07-24,,22.55,25.22,2.67,False,0,0,Barmaid,Accommodation & food services,False
Gemma Winter-Brown,Female,955,2014-10-01,,Alive,1990-08-24,,24.1,34.85,10.75,False,1,4,Barmaid,Accommodation & food services,False
Geoff Metcalfe,Male,237,2018-03-28,2020-12-11,Death,1950-04-24,2020-12-09,67.93,70.63,2.7,False,3,1,DJ  Restaurateur,Accommodation & food services,False
George Appleton,Male,48,2017-08-14,2019-01-07,Exit,2017-02-01,,0.53,1.93,1.4,False,0,0,,,False
George Shuttleworth,Male,349,2020-09-16,,Alive,,,,,4.79,False,0,0,Undertaker,Other services,False
George Wardle,Male,59,1985-03-11,1986-02-12,Exit,,,,,0.93,False,1,0,Van driver,Transport & storage,False
Gina Seddon,Female,213,1988-03-14,2019-04-01,Exit,1969-11-01,,18.37,49.41,3.05,True,2,1,,,False
Glenda Shuttleworth,Female,261,2022-08-05,,Alive,,,,,2.9,False,0,0,BarmaidStage school manager,Accommodation & food services,False
Gloria Price,Female,172,2012-09-05,2014-02-21,Exit,1942-06-01,,70.26,71.73,1.46,False,0,1,Waitress,Accommodation & food services,False
Gloria Todd,Female,231,1985-01-16,1988-11-30,Exit,1958-04-20,,26.74,30.61,3.87,False,0,0,Barmaid,Accommodation & food services,False
Glory Bailey,Female,32,2021-05-14,,Alive,2021-03-17,,0.16,4.29,4.13,False,0,0,,,False
Gordon Clegg,Male,104,1968-04-15,2012-04-20,Exit,1950-05-20,,17.91,61.92,3.21,True,1,1,Accountant,Financial & insurance activities,False
Grace Vickers,Female,80,2019-11-20,2022-03-16,Exit,,,,,2.32,False,0,1,,,False
Graeme Proctor,Male,261,2008-04-18,2011-06-13,Exit,1990-07-01,,17.8,20.95,3.15,False,1,0,Window Cleaner,Administrative & support services,False
Greg Kelly,Male,117,1998-04-01,1999-05-16,Exit,1972-06-01,,25.83,26.95,1.12,False,0,0,,,False
Gwen Davies,Female,91,1999-10-11,2000-06-16,Exit,,,,,0.68,False,1,1,Factory machinist,Manufacturing,False
Harry Clayton,Male,35,1985-01-28,1985-09-04,Exit,,,,,0.6,False,1,2,Milkman,Transport & storage,False
Harry Flagg,Male,121,2002-09-06,2004-08-06,Exit,,,,,1.92,False,1,1,Cleaner,Administrative & support services,False
Harry Hewitt,Male,305,1960-12-14,1967-09-06,Death,1921-02-24,1967-09-04,39.8,46.52,4.72,True,2,2,Bus driver,Transport & storage,False
Harry Mason,Male,85,2007-12-03,2008-09-26,Exit,,,,,0.82,False,3,1,Bookmaker,Other services,False
Harry Platt,Male,162,2016-03-21,,Alive,2016-03-21,,0.0,9.28,9.28,False,0,0,,,False
Hayley Cropper,Female,1447,1998-01-26,2014-01-22,Death,1966-05-07,2014-01-20,31.72,47.71,15.98,False,1,1,Factory supervisor/Café assistant,Manufacturing,False
Hilda Ogden,Female,1614,1964-07-08,1987-12-25,Exit,1924-02-02,,40.43,63.89,23.46,False,1,4,Cleaner,Administrative & support services,False
Hope Dobbs,Female,613,2010-12-09,,Alive,2010-12-06,,0.01,14.57,14.56,False,0,0,,,False
Ida Barlow,Female,41,1960-12-09,1961-09-06,Death,1916-12-16,1961-09-11,43.98,44.74,0.76,False,1,2,Cleaner,Administrative & support services,False
Ida Clough,Female,255,1978-04-03,1998-08-19,Exit,1937-11-15,,40.38,60.76,13.38,True,1,2,Machinist,Manufacturing,False
Idris Hopkins,Male,44,1974-07-08,1975-02-10,Exit,,,,,0.59,False,1,1,Foundry worker,Manufacturing,False
Imran Habeeb,Male,437,2017-11-17,2022-06-01,Death,1989-12-21,2022-05-30,27.91,32.44,4.53,False,2,1,Solicitor at Barlow Legal Services,"Professional, scientific & technical activities",False
Irma Barlow,Female,393,1964-01-27,1971-12-08,Exit,1946-09-28,,17.33,25.19,7.86,False,1,1,Shop owner,"Wholesale, retail & repair of motor vehicles",False
Ivan Cheveski,Male,76,1960-12-14,1967-12-27,Exit,1936-02-14,,24.83,31.87,4.03,True,1,2,,,False
Ivy Brennan,Female,1167,1971-06-14,1994-03-25,Exit,1936-04-08,1995-08-23,35.18,57.96,20.78,True,2,1,Factory worker,Manufacturing,False
Izzy Armstrong,Female,865,2010-04-16,,Alive,1986-01-24,,24.22,39.43,15.21,False,0,1,Machinist at Underworld,Manufacturing,False
Jack Duckworth,Male,2093,1979-11-28,2010-11-08,Death,1936-11-07,2010-11-07,43.06,74.0,29.36,True,1,1,Barman,Accommodation & food services,False
